motion_path,source_set,subject,action_category,action_zh,reference_frames,control_steps,duration_seconds,frequency_hz,historical_tracker_success,historical_frame_coverage,historical_done_reason,replay_candidate
KIT/10/WalkInClockwiseCircle03_poses,official_kit,10,clockwise_circle,顺时针绕圈,656,655,6.55,100.0,True,0.9984756097560976,completed,True
KIT/10/WalkInClockwiseCircle04_poses,official_kit,10,clockwise_circle,顺时针绕圈,668,667,6.67,100.0,True,0.9985029940119761,completed,True
KIT/10/WalkInClockwiseCircle05_poses,official_kit,10,clockwise_circle,顺时针绕圈,650,649,6.49,100.0,True,0.9984615384615385,completed,True
KIT/10/WalkInClockwiseCircle06_poses,official_kit,10,clockwise_circle,顺时针绕圈,647,646,6.46,100.0,True,0.9984544049459042,completed,True
KIT/10/WalkInClockwiseCircle07_poses,official_kit,10,clockwise_circle,顺时针绕圈,708,707,7.07,100.0,True,0.998587570621469,completed,True
KIT/10/WalkInClockwiseCircle08_poses,official_kit,10,clockwise_circle,顺时针绕圈,682,681,6.81,100.0,True,0.998533724340176,completed,True
KIT/10/WalkInClockwiseCircle09_poses,official_kit,10,clockwise_circle,顺时针绕圈,655,654,6.54,100.0,True,0.9984732824427481,completed,True
KIT/10/WalkInClockwiseCircle10_poses,official_kit,10,clockwise_circle,顺时针绕圈,663,662,6.62,100.0,True,0.9984917043740573,completed,True
KIT/10/WalkInCounterClockwiseCircle01_poses,official_kit,10,counterclockwise_circle,逆时针绕圈,666,665,6.65,100.0,True,0.9984984984984985,completed,True
KIT/10/WalkInCounterClockwiseCircle02_poses,official_kit,10,counterclockwise_circle,逆时针绕圈,546,545,5.45,100.0,True,0.9981684981684982,completed,True
KIT/10/WalkInCounterClockwiseCircle03_poses,official_kit,10,counterclockwise_circle,逆时针绕圈,746,745,7.45,100.0,True,0.9986595174262735,completed,True
KIT/10/WalkInCounterClockwiseCircle04_poses,official_kit,10,counterclockwise_circle,逆时针绕圈,610,609,6.09,100.0,True,0.9983606557377049,completed,True
KIT/10/WalkInCounterClockwiseCircle05_poses,official_kit,10,counterclockwise_circle,逆时针绕圈,608,607,6.07,100.0,True,0.9983552631578947,completed,True
KIT/10/WalkInCounterClockwiseCircle06_poses,official_kit,10,counterclockwise_circle,逆时针绕圈,624,623,6.23,100.0,True,0.9983974358974359,completed,True
KIT/10/WalkInCounterClockwiseCircle07_poses,official_kit,10,counterclockwise_circle,逆时针绕圈,636,635,6.35,100.0,True,0.9984276729559748,completed,True
KIT/10/WalkInCounterClockwiseCircle08_poses,official_kit,10,counterclockwise_circle,逆时针绕圈,620,619,6.19,100.0,True,0.9983870967741936,completed,True
KIT/10/WalkInCounterClockwiseCircle09_poses,official_kit,10,counterclockwise_circle,逆时针绕圈,598,597,5.97,100.0,True,0.9983277591973244,completed,True
KIT/10/WalkInCounterClockwiseCircle10_poses,official_kit,10,counterclockwise_circle,逆时针绕圈,642,641,6.41,100.0,True,0.9984423676012462,completed,True
KIT/10/WalkingStraightBackwards01_poses,official_kit,10,straight_backward,直线后退,409,408,4.08,100.0,True,0.9975550122249389,completed,True
KIT/10/WalkingStraightBackwards02_poses,official_kit,10,straight_backward,直线后退,479,478,4.78,100.0,True,0.9979123173277662,completed,True
KIT/10/WalkingStraightBackwards03_poses,official_kit,10,straight_backward,直线后退,441,440,4.4,100.0,True,0.9977324263038548,completed,True
KIT/10/WalkingStraightBackwards04_poses,official_kit,10,straight_backward,直线后退,450,449,4.49,100.0,True,0.9977777777777778,completed,True
KIT/10/WalkingStraightBackwards05_poses,official_kit,10,straight_backward,直线后退,559,558,5.58,100.0,True,0.998211091234347,completed,True
KIT/10/WalkingStraightBackwards06_poses,official_kit,10,straight_backward,直线后退,634,633,6.33,100.0,True,0.998422712933754,completed,True
KIT/10/WalkingStraightBackwards07_poses,official_kit,10,straight_backward,直线后退,499,498,4.98,100.0,True,0.9979959919839679,completed,True
KIT/10/WalkingStraightBackwards08_poses,official_kit,10,straight_backward,直线后退,569,568,5.68,100.0,True,0.9982425307557118,completed,True
KIT/10/WalkingStraightBackwards09_poses,official_kit,10,straight_backward,直线后退,516,515,5.15,100.0,True,0.998062015503876,completed,True
KIT/10/WalkingStraightBackwards10_poses,official_kit,10,straight_backward,直线后退,487,486,4.86,100.0,True,0.997946611909651,completed,True
KIT/11/LeftTurn01_poses,official_kit,11,turn_left,左转,424,423,4.23,100.0,True,0.9976415094339622,completed,True
KIT/11/LeftTurn02_poses,official_kit,11,turn_left,左转,580,579,5.79,100.0,True,0.9982758620689656,completed,True
KIT/11/LeftTurn03_poses,official_kit,11,turn_left,左转,590,589,5.89,100.0,True,0.9983050847457627,completed,True
KIT/11/LeftTurn04_poses,official_kit,11,turn_left,左转,403,402,4.02,100.0,True,0.9975186104218362,completed,True
KIT/11/LeftTurn05_poses,official_kit,11,turn_left,左转,557,556,5.56,100.0,True,0.9982046678635548,completed,True
KIT/11/LeftTurn06_poses,official_kit,11,turn_left,左转,587,586,5.86,100.0,True,0.9982964224872232,completed,True
KIT/11/LeftTurn07_poses,official_kit,11,turn_left,左转,410,409,4.09,100.0,True,0.9975609756097561,completed,True
KIT/11/LeftTurn08_poses,official_kit,11,turn_left,左转,300,299,2.99,100.0,True,0.9966666666666667,completed,True
KIT/11/LeftTurn09_poses,official_kit,11,turn_left,左转,345,344,3.44,100.0,True,0.9971014492753624,completed,True
KIT/11/RightTurn01_poses,official_kit,11,turn_right,右转,386,385,3.85,100.0,True,0.9974093264248705,completed,True
KIT/11/RightTurn02_poses,official_kit,11,turn_right,右转,548,547,5.47,100.0,True,0.9981751824817519,completed,True
KIT/11/RightTurn03_poses,official_kit,11,turn_right,右转,551,550,5.5,100.0,True,0.9981851179673321,completed,True
KIT/11/RightTurn04_poses,official_kit,11,turn_right,右转,535,534,5.34,100.0,True,0.9981308411214953,completed,True
KIT/11/RightTurn05_poses,official_kit,11,turn_right,右转,510,509,5.09,100.0,True,0.9980392156862745,completed,True
KIT/11/RightTurn06_poses,official_kit,11,turn_right,右转,495,494,4.94,100.0,True,0.997979797979798,completed,True
KIT/11/RightTurn07_poses,official_kit,11,turn_right,右转,575,574,5.74,100.0,True,0.9982608695652174,completed,True
KIT/11/RightTurn08_poses,official_kit,11,turn_right,右转,542,541,5.41,100.0,True,0.9981549815498155,completed,True
KIT/11/RightTurn09_poses,official_kit,11,turn_right,右转,526,525,5.25,100.0,True,0.9980988593155894,completed,True
KIT/11/RightTurn10_poses,official_kit,11,turn_right,右转,496,495,4.95,100.0,True,0.9979838709677419,completed,True
KIT/11/WalkInClockwiseCircle01_poses,official_kit,11,clockwise_circle,顺时针绕圈,726,725,7.25,100.0,True,0.9986225895316805,completed,True
KIT/11/WalkInClockwiseCircle02_poses,official_kit,11,clockwise_circle,顺时针绕圈,654,653,6.53,100.0,True,0.9984709480122325,completed,True
KIT/11/WalkInClockwiseCircle03_poses,official_kit,11,clockwise_circle,顺时针绕圈,648,647,6.47,100.0,True,0.9984567901234568,completed,True
KIT/11/WalkInClockwiseCircle04_poses,official_kit,11,clockwise_circle,顺时针绕圈,724,723,7.23,100.0,True,0.9986187845303868,completed,True
KIT/11/WalkInClockwiseCircle05_poses,official_kit,11,clockwise_circle,顺时针绕圈,745,744,7.44,100.0,True,0.9986577181208054,completed,True
KIT/11/WalkInClockwiseCircle06_poses,official_kit,11,clockwise_circle,顺时针绕圈,689,688,6.88,100.0,True,0.9985486211901307,completed,True
KIT/11/WalkInClockwiseCircle07_poses,official_kit,11,clockwise_circle,顺时针绕圈,668,667,6.67,100.0,True,0.9985029940119761,completed,True
KIT/11/WalkInClockwiseCircle08_poses,official_kit,11,clockwise_circle,顺时针绕圈,861,860,8.6,100.0,True,0.9988385598141696,completed,True
KIT/11/WalkInClockwiseCircle09_poses,official_kit,11,clockwise_circle,顺时针绕圈,740,739,7.39,100.0,True,0.9986486486486487,completed,True
KIT/11/WalkInClockwiseCircle10_poses,official_kit,11,clockwise_circle,顺时针绕圈,723,722,7.22,100.0,True,0.9986168741355463,completed,True
KIT/11/WalkInCounterClockwiseCircle01_poses,official_kit,11,counterclockwise_circle,逆时针绕圈,812,811,8.11,100.0,True,0.9987684729064039,completed,True
KIT/11/WalkInCounterClockwiseCircle02_poses,official_kit,11,counterclockwise_circle,逆时针绕圈,758,757,7.57,100.0,True,0.9986807387862797,completed,True
KIT/11/WalkInCounterClockwiseCircle03_poses,official_kit,11,counterclockwise_circle,逆时针绕圈,689,688,6.88,100.0,True,0.9985486211901307,completed,True
KIT/11/WalkInCounterClockwiseCircle04_poses,official_kit,11,counterclockwise_circle,逆时针绕圈,811,810,8.1,100.0,True,0.998766954377312,completed,True
KIT/11/WalkInCounterClockwiseCircle05_poses,official_kit,11,counterclockwise_circle,逆时针绕圈,691,690,6.9,100.0,True,0.9985528219971056,completed,True
KIT/11/WalkInCounterClockwiseCircle06_poses,official_kit,11,counterclockwise_circle,逆时针绕圈,740,739,7.39,100.0,True,0.9986486486486487,completed,True
KIT/11/WalkInCounterClockwiseCircle07_poses,official_kit,11,counterclockwise_circle,逆时针绕圈,766,765,7.65,100.0,True,0.9986945169712794,completed,True
KIT/11/WalkInCounterClockwiseCircle08_poses,official_kit,11,counterclockwise_circle,逆时针绕圈,682,681,6.81,100.0,True,0.998533724340176,completed,True
KIT/11/WalkInCounterClockwiseCircle09_poses,official_kit,11,counterclockwise_circle,逆时针绕圈,729,728,7.28,100.0,True,0.9986282578875172,completed,True
KIT/11/WalkInCounterClockwiseCircle10_poses,official_kit,11,counterclockwise_circle,逆时针绕圈,728,727,7.27,100.0,True,0.9986263736263736,completed,True
KIT/11/WalkingStraightBackwards01_1_poses,official_kit,11,straight_backward,直线后退,549,548,5.48,100.0,True,0.9981785063752276,completed,True
KIT/11/WalkingStraightBackwards02_1_poses,official_kit,11,straight_backward,直线后退,555,554,5.54,100.0,True,0.9981981981981982,completed,True
KIT/11/WalkingStraightBackwards03_1_poses,official_kit,11,straight_backward,直线后退,542,541,5.41,100.0,True,0.9981549815498155,completed,True
KIT/11/WalkingStraightBackwards04_1_poses,official_kit,11,straight_backward,直线后退,487,486,4.86,100.0,True,0.997946611909651,completed,True
KIT/11/WalkingStraightBackwards05_1_poses,official_kit,11,straight_backward,直线后退,786,785,7.85,100.0,True,0.9987277353689568,completed,True
KIT/11/WalkingStraightBackwards06_1_poses,official_kit,11,straight_backward,直线后退,599,598,5.98,100.0,True,0.998330550918197,completed,True
KIT/11/WalkingStraightBackwards07_1_poses,official_kit,11,straight_backward,直线后退,500,499,4.99,100.0,True,0.998,completed,True
KIT/11/WalkingStraightBackwards08_1_poses,official_kit,11,straight_backward,直线后退,576,575,5.75,100.0,True,0.9982638888888888,completed,True
KIT/11/WalkingStraightBackwards09_1_poses,official_kit,11,straight_backward,直线后退,531,530,5.3,100.0,True,0.9981167608286252,completed,True
KIT/11/WalkingStraightBackwards10_poses,official_kit,11,straight_backward,直线后退,452,451,4.51,100.0,True,0.9977876106194691,completed,True
KIT/11/WalkingStraightForwards01_poses,official_kit,11,straight_forward,直线前进,500,499,4.99,100.0,True,0.998,completed,True
KIT/11/WalkingStraightForwards02_poses,official_kit,11,straight_forward,直线前进,536,535,5.35,100.0,True,0.9981343283582089,completed,True
KIT/11/WalkingStraightForwards03_poses,official_kit,11,straight_forward,直线前进,577,576,5.76,100.0,True,0.9982668977469671,completed,True
KIT/11/WalkingStraightForwards04_poses,official_kit,11,straight_forward,直线前进,533,532,5.32,100.0,True,0.99812382739212,completed,True
KIT/11/WalkingStraightForwards05_poses,official_kit,11,straight_forward,直线前进,482,481,4.81,100.0,True,0.9979253112033195,completed,True
KIT/11/WalkingStraightForwards06_poses,official_kit,11,straight_forward,直线前进,531,530,5.3,100.0,True,0.9981167608286252,completed,True
KIT/11/WalkingStraightForwards07_poses,official_kit,11,straight_forward,直线前进,477,476,4.76,100.0,True,0.9979035639412998,completed,True
KIT/11/WalkingStraightForwards08_poses,official_kit,11,straight_forward,直线前进,474,473,4.73,100.0,True,0.9978902953586498,completed,True
KIT/11/WalkingStraightForwards09_poses,official_kit,11,straight_forward,直线前进,427,426,4.26,100.0,True,0.9976580796252927,completed,True
KIT/11/WalkingStraightForwards10_poses,official_kit,11,straight_forward,直线前进,488,487,4.87,100.0,True,0.9979508196721312,completed,True
KIT/12/LeftTurn03_poses,official_kit,12,turn_left,左转,521,520,5.2,100.0,True,0.9980806142034548,completed,True
KIT/12/LeftTurn05_poses,official_kit,12,turn_left,左转,602,601,6.01,100.0,True,0.9983388704318937,completed,True
KIT/12/LeftTurn07_poses,official_kit,12,turn_left,左转,432,431,4.31,100.0,True,0.9976851851851852,completed,True
KIT/12/LeftTurn08_poses,official_kit,12,turn_left,左转,570,569,5.69,100.0,True,0.9982456140350877,completed,True
KIT/12/RightTurn01_poses,official_kit,12,turn_right,右转,427,426,4.26,100.0,True,0.9976580796252927,completed,True
KIT/12/RightTurn02_poses,official_kit,12,turn_right,右转,918,917,9.17,100.0,True,0.9989106753812637,completed,True
KIT/12/RightTurn03_poses,official_kit,12,turn_right,右转,589,588,5.88,100.0,True,0.99830220713073,completed,True
KIT/12/RightTurn04_poses,official_kit,12,turn_right,右转,729,728,7.28,100.0,True,0.9986282578875172,completed,True
KIT/12/RightTurn05_poses,official_kit,12,turn_right,右转,349,348,3.48,100.0,True,0.997134670487106,completed,True
KIT/12/RightTurn06_poses,official_kit,12,turn_right,右转,518,517,5.17,100.0,True,0.9980694980694981,completed,True
KIT/12/RightTurn07_poses,official_kit,12,turn_right,右转,611,610,6.1,100.0,True,0.9983633387888707,completed,True
KIT/12/RightTurn08_poses,official_kit,12,turn_right,右转,558,557,5.57,100.0,True,0.9982078853046595,completed,True
KIT/12/RightTurn09_poses,official_kit,12,turn_right,右转,515,514,5.14,100.0,True,0.9980582524271845,completed,True
KIT/12/RightTurn10_poses,official_kit,12,turn_right,右转,554,553,5.53,100.0,True,0.9981949458483754,completed,True
KIT/12/WalkInClockwiseCircle01_poses,official_kit,12,clockwise_circle,顺时针绕圈,560,559,5.59,100.0,True,0.9982142857142857,completed,True
KIT/12/WalkInClockwiseCircle02_poses,official_kit,12,clockwise_circle,顺时针绕圈,560,559,5.59,100.0,True,0.9982142857142857,completed,True
KIT/12/WalkInClockwiseCircle03_poses,official_kit,12,clockwise_circle,顺时针绕圈,581,580,5.8,100.0,True,0.9982788296041308,completed,True
KIT/12/WalkInClockwiseCircle05_poses,official_kit,12,clockwise_circle,顺时针绕圈,671,670,6.7,100.0,True,0.9985096870342772,completed,True
KIT/12/WalkInClockwiseCircle09_poses,official_kit,12,clockwise_circle,顺时针绕圈,641,640,6.4,100.0,True,0.9984399375975039,completed,True
KIT/12/WalkInClockwiseCircle11_poses,official_kit,12,clockwise_circle,顺时针绕圈,667,666,6.66,100.0,True,0.9985007496251874,completed,True
KIT/12/WalkInClockwiseCircle12_poses,official_kit,12,clockwise_circle,顺时针绕圈,661,660,6.6,100.0,True,0.9984871406959153,completed,True
KIT/12/WalkInCounterClockwiseCircle01_poses,official_kit,12,counterclockwise_circle,逆时针绕圈,683,682,6.82,100.0,True,0.9985358711566618,completed,True
KIT/12/WalkInCounterClockwiseCircle02_poses,official_kit,12,counterclockwise_circle,逆时针绕圈,576,575,5.75,100.0,True,0.9982638888888888,completed,True
KIT/12/WalkInCounterClockwiseCircle04_poses,official_kit,12,counterclockwise_circle,逆时针绕圈,716,715,7.15,100.0,True,0.9986033519553073,completed,True
KIT/12/WalkInCounterClockwiseCircle05_poses,official_kit,12,counterclockwise_circle,逆时针绕圈,751,750,7.5,100.0,True,0.9986684420772304,completed,True
KIT/12/WalkInCounterClockwiseCircle06_poses,official_kit,12,counterclockwise_circle,逆时针绕圈,726,725,7.25,100.0,True,0.9986225895316805,completed,True
KIT/12/WalkInCounterClockwiseCircle07_poses,official_kit,12,counterclockwise_circle,逆时针绕圈,643,642,6.42,100.0,True,0.9984447900466563,completed,True
KIT/12/WalkInCounterClockwiseCircle08_poses,official_kit,12,counterclockwise_circle,逆时针绕圈,720,719,7.19,100.0,True,0.9986111111111111,completed,True
KIT/12/WalkInCounterClockwiseCircle10_poses,official_kit,12,counterclockwise_circle,逆时针绕圈,661,660,6.6,100.0,True,0.9984871406959153,completed,True
KIT/12/WalkingStraightBackwards01_poses,official_kit,12,straight_backward,直线后退,594,593,5.93,100.0,True,0.9983164983164983,completed,True
KIT/12/WalkingStraightBackwards02_poses,official_kit,12,straight_backward,直线后退,572,571,5.71,100.0,True,0.9982517482517482,completed,True
KIT/12/WalkingStraightBackwards03_poses,official_kit,12,straight_backward,直线后退,587,586,5.86,100.0,True,0.9982964224872232,completed,True
KIT/12/WalkingStraightBackwards04_poses,official_kit,12,straight_backward,直线后退,604,603,6.03,100.0,True,0.9983443708609272,completed,True
KIT/12/WalkingStraightBackwards05_poses,official_kit,12,straight_backward,直线后退,602,601,6.01,100.0,True,0.9983388704318937,completed,True
KIT/12/WalkingStraightBackwards06_poses,official_kit,12,straight_backward,直线后退,583,582,5.82,100.0,True,0.9982847341337907,completed,True
KIT/12/WalkingStraightBackwards07_poses,official_kit,12,straight_backward,直线后退,544,543,5.43,100.0,True,0.9981617647058824,completed,True
KIT/12/WalkingStraightBackwards08_poses,official_kit,12,straight_backward,直线后退,531,530,5.3,100.0,True,0.9981167608286252,completed,True
KIT/12/WalkingStraightBackwards09_poses,official_kit,12,straight_backward,直线后退,544,543,5.43,100.0,True,0.9981617647058824,completed,True
KIT/12/WalkingStraightBackwards10_poses,official_kit,12,straight_backward,直线后退,677,676,6.76,100.0,True,0.9985228951255539,completed,True
KIT/12/WalkingStraightForwards01_1_poses,official_kit,12,straight_forward,直线前进,392,391,3.91,100.0,True,0.9974489795918368,completed,True
KIT/12/WalkingStraightForwards03_poses,official_kit,12,straight_forward,直线前进,141,140,1.4,100.0,True,0.9929078014184397,completed,True
KIT/12/WalkingStraightForwards04_1_poses,official_kit,12,straight_forward,直线前进,340,339,3.39,100.0,True,0.9970588235294118,completed,True
KIT/12/WalkingStraightForwards05_1_poses,official_kit,12,straight_forward,直线前进,348,347,3.47,100.0,True,0.9971264367816092,completed,True
KIT/12/WalkingStraightForwards06_1_poses,official_kit,12,straight_forward,直线前进,553,552,5.52,100.0,True,0.9981916817359855,completed,True
KIT/12/WalkingStraightForwards07_1_poses,official_kit,12,straight_forward,直线前进,481,480,4.8,100.0,True,0.997920997920998,completed,True
KIT/12/WalkingStraightForwards08_1_poses,official_kit,12,straight_forward,直线前进,554,553,5.53,100.0,True,0.9981949458483754,completed,True
KIT/12/WalkingStraightForwards09_1_poses,official_kit,12,straight_forward,直线前进,552,551,5.51,100.0,True,0.9981884057971014,completed,True
KIT/12/WalkingStraightForwards10_poses,official_kit,12,straight_forward,直线前进,551,550,5.5,100.0,True,0.9981851179673321,completed,True
KIT/167/turn_left01_poses,official_kit,167,turn_left,左转,537,536,5.36,100.0,True,0.9981378026070763,completed,True
KIT/167/turn_left02_poses,official_kit,167,turn_left,左转,554,553,5.53,100.0,True,0.9981949458483754,completed,True
KIT/167/turn_left03_poses,official_kit,167,turn_left,左转,600,599,5.99,100.0,True,0.9983333333333333,completed,True
KIT/167/turn_left04_poses,official_kit,167,turn_left,左转,537,536,5.36,100.0,True,0.9981378026070763,completed,True
KIT/167/turn_left05_poses,official_kit,167,turn_left,左转,599,598,5.98,100.0,True,0.998330550918197,completed,True
KIT/167/turn_left06_poses,official_kit,167,turn_left,左转,607,606,6.06,100.0,True,0.9983525535420099,completed,True
KIT/167/turn_left07_poses,official_kit,167,turn_left,左转,626,625,6.25,100.0,True,0.9984025559105432,completed,True
KIT/167/turn_left08_poses,official_kit,167,turn_left,左转,546,545,5.45,100.0,True,0.9981684981684982,completed,True
KIT/167/turn_left09_poses,official_kit,167,turn_left,左转,593,592,5.92,100.0,True,0.9983136593591906,completed,True
KIT/167/turn_left10_poses,official_kit,167,turn_left,左转,600,599,5.99,100.0,True,0.9983333333333333,completed,True
KIT/167/turn_right01_poses,official_kit,167,turn_right,右转,675,674,6.74,100.0,True,0.9985185185185185,completed,True
KIT/167/turn_right02_poses,official_kit,167,turn_right,右转,708,707,7.07,100.0,True,0.998587570621469,completed,True
KIT/167/turn_right03_poses,official_kit,167,turn_right,右转,602,601,6.01,100.0,True,0.9983388704318937,completed,True
KIT/167/turn_right04_poses,official_kit,167,turn_right,右转,631,630,6.3,100.0,True,0.9984152139461173,completed,True
KIT/167/turn_right05_poses,official_kit,167,turn_right,右转,622,621,6.21,100.0,True,0.9983922829581994,completed,True
KIT/167/turn_right06_poses,official_kit,167,turn_right,右转,626,625,6.25,100.0,True,0.9984025559105432,completed,True
KIT/167/turn_right07_poses,official_kit,167,turn_right,右转,620,619,6.19,100.0,True,0.9983870967741936,completed,True
KIT/167/turn_right08_poses,official_kit,167,turn_right,右转,592,591,5.91,100.0,True,0.9983108108108109,completed,True
KIT/167/turn_right09_poses,official_kit,167,turn_right,右转,569,568,5.68,100.0,True,0.9982425307557118,completed,True
KIT/167/turn_right10_poses,official_kit,167,turn_right,右转,558,557,5.57,100.0,True,0.9982078853046595,completed,True
KIT/167/walking_medium01_poses,official_kit,167,walking_medium,中速直行,504,503,5.03,100.0,True,0.998015873015873,completed,True
KIT/167/walking_medium02_poses,official_kit,167,walking_medium,中速直行,464,463,4.63,100.0,True,0.9978448275862069,completed,True
KIT/167/walking_medium03_poses,official_kit,167,walking_medium,中速直行,547,546,5.46,100.0,True,0.9981718464351006,completed,True
KIT/167/walking_medium04_poses,official_kit,167,walking_medium,中速直行,516,515,5.15,100.0,True,0.998062015503876,completed,True
KIT/167/walking_medium05_poses,official_kit,167,walking_medium,中速直行,517,516,5.16,100.0,True,0.9980657640232108,completed,True
KIT/167/walking_medium06_poses,official_kit,167,walking_medium,中速直行,484,483,4.83,100.0,True,0.9979338842975206,completed,True
KIT/167/walking_medium07_poses,official_kit,167,walking_medium,中速直行,514,513,5.13,100.0,True,0.9980544747081712,completed,True
KIT/167/walking_medium08_poses,official_kit,167,walking_medium,中速直行,523,522,5.22,100.0,True,0.9980879541108987,completed,True
KIT/167/walking_medium09_poses,official_kit,167,walking_medium,中速直行,485,484,4.84,100.0,True,0.9979381443298969,completed,True
KIT/167/walking_medium10_poses,official_kit,167,walking_medium,中速直行,536,535,5.35,100.0,True,0.9981343283582089,completed,True
KIT/167/walking_run01_poses,official_kit,167,walking_run,跑步,495,494,4.94,100.0,True,0.997979797979798,completed,True
KIT/167/walking_run02_poses,official_kit,167,walking_run,跑步,471,470,4.7,100.0,True,0.9978768577494692,completed,True
KIT/167/walking_run03_poses,official_kit,167,walking_run,跑步,288,287,2.87,100.0,True,0.9965277777777778,completed,True
KIT/167/walking_run04_poses,official_kit,167,walking_run,跑步,511,510,5.1,100.0,True,0.9980430528375733,completed,True
KIT/167/walking_run05_poses,official_kit,167,walking_run,跑步,471,470,4.7,100.0,True,0.9978768577494692,completed,True
KIT/167/walking_run06_poses,official_kit,167,walking_run,跑步,430,429,4.29,100.0,True,0.9976744186046511,completed,True
KIT/167/walking_run07_poses,official_kit,167,walking_run,跑步,449,448,4.48,100.0,True,0.9977728285077951,completed,True
KIT/167/walking_run08_poses,official_kit,167,walking_run,跑步,431,430,4.3,100.0,True,0.9976798143851509,completed,True
KIT/167/walking_run09_poses,official_kit,167,walking_run,跑步,530,529,5.29,100.0,True,0.9981132075471698,completed,True
KIT/167/walking_run10_poses,official_kit,167,walking_run,跑步,483,482,4.82,100.0,True,0.9979296066252588,completed,True
KIT/167/walking_slow01_poses,official_kit,167,walking_slow,慢速直行,630,629,6.29,100.0,True,0.9984126984126984,completed,True
KIT/167/walking_slow02_poses,official_kit,167,walking_slow,慢速直行,748,747,7.47,100.0,True,0.9986631016042781,completed,True
KIT/167/walking_slow03_poses,official_kit,167,walking_slow,慢速直行,596,595,5.95,100.0,True,0.9983221476510067,completed,True
KIT/167/walking_slow04_poses,official_kit,167,walking_slow,慢速直行,645,644,6.44,100.0,True,0.9984496124031008,completed,True
KIT/167/walking_slow05_poses,official_kit,167,walking_slow,慢速直行,780,779,7.79,100.0,True,0.9987179487179487,completed,True
KIT/167/walking_slow06_poses,official_kit,167,walking_slow,慢速直行,667,666,6.66,100.0,True,0.9985007496251874,completed,True
KIT/167/walking_slow07_poses,official_kit,167,walking_slow,慢速直行,742,741,7.41,100.0,True,0.9986522911051213,completed,True
KIT/167/walking_slow08_poses,official_kit,167,walking_slow,慢速直行,667,666,6.66,100.0,True,0.9985007496251874,completed,True
KIT/167/walking_slow09_poses,official_kit,167,walking_slow,慢速直行,687,686,6.86,100.0,True,0.9985443959243085,completed,True
KIT/167/walking_slow10_poses,official_kit,167,walking_slow,慢速直行,609,608,6.08,100.0,True,0.9983579638752053,completed,True
KIT/167/walking_slow11_poses,official_kit,167,walking_slow,慢速直行,718,717,7.17,100.0,True,0.9986072423398329,completed,True
